regulator,Source,Category
NarL,RegulonDB_TF,TF
NarP,RegulonDB_TF,TF
NemR,RegulonDB_TF,TF
NfeR,RegulonDB_TF,TF
NhaR,RegulonDB_TF,TF
NikR,RegulonDB_TF,TF
NimR,RegulonDB_TF,TF
NorR,RegulonDB_TF,TF
NrdR,RegulonDB_TF,TF
NsrR,RegulonDB_TF,TF
NtrC,RegulonDB_TF,TF
OmpR,RegulonDB_TF,TF
omrA,RegulonDB_sRNA,sRNA
omrB,RegulonDB_sRNA,sRNA
OxyR,RegulonDB_TF,TF
oxyS,RegulonDB_sRNA,sRNA
PaaX,RegulonDB_TF,TF
PdeL,RegulonDB_TF,TF
PdhR,RegulonDB_TF,TF
PepA,RegulonDB_TF,TF
PgrR,RegulonDB_TF,TF
Phe-tRNA,Ecocyc,
PhoB,RegulonDB_TF,TF
PhoP,RegulonDB_TF,TF
PlaR,RegulonDB_TF,TF
ppGpp,PMID:30971496,
PrpR,RegulonDB_TF,TF
PspF,RegulonDB_TF,TF
PurR,RegulonDB_TF,TF
PutA,RegulonDB_TF,TF
Putrescine,Ecocyc,
PuuR,RegulonDB_TF,TF
PyrR,RegulonDB_TF,TF
QseB,RegulonDB_TF,TF
RacR,Ecocyc,TF
RbsR,RegulonDB_TF,TF
RcdA,RegulonDB_TF,TF
RclR,RegulonDB_TF,TF
RcnR,RegulonDB_TF,TF
RcsAB,RegulonDB_TF,TF
RcsB,RegulonDB_TF,TF
RcsB-BglJ,RegulonDB_TF,TF
rdlA,RegulonDB_sRNA,sRNA
rdlC,RegulonDB_sRNA,sRNA
rdlD,RegulonDB_sRNA,sRNA
RelB,RegulonDB_TF,TF
RelB-RelE,RegulonDB_TF,TF
RhaR,RegulonDB_TF,TF
RhaS,RegulonDB_TF,TF
Rho,Ecocyc,transcription termination
rirA,RegulonDB_sRNA,sRNA
Rne,Ecocyc,Translation
rnpB,RegulonDB_sRNA,sRNA
Rob,RegulonDB_TF,TF
RplA,Ecocyc,Translation
RplD,Ecocyc,Attenuation
RplM,Ecocyc,Translation
RplT,Ecocyc,Translation
RplY,Ecocyc,Translation
RpmE,Ecocyc,Translation
RpoD,RegulonDB_sigma,sigma
RpoE,RegulonDB_sigma,sigma
RpoH,RegulonDB_sigma,sigma
RpoN,RegulonDB_sigma,sigma
RpoS,RegulonDB_sigma,sigma
