Gene_Name,Bnb,Product,ECKnb,Names,Object_ID,Directly_Activates_IDs,Directly_Inhibites_IDs
G7173,b2266,G7173-MONOMER,ECK2260,elaB@yfbD@b2266@ECK2260,G7173,,
EG10991,b3116,TDCC-MONOMER,ECK3105,tdcC@b3116@ECK3105,EG10991,,
G0-10452,b4533,MONOMER0-2674,ECK1542,ynfO@b4533@ECK1542,G0-10452,,
EG10415,b3181,EG10415-MONOMER,ECK3170,greA@b3181@ECK3170,EG10415,,
G6670,b1338,G6670-MONOMER,ECK1334,abgA@ydaJ@b1338@ECK1334,G6670,,
G362,b1077,FLGF-FLAGELLAR-MOTOR-ROD-PROTEIN,ECK1062,flgF@flaX@b1077@ECK1062,G362,,
EG11468,b3823,RHTC-MONOMER,ECK3817,rhtC@yigJ@b3823@ECK3817,EG11468,,
G6997,b1816,G6997-MONOMER,ECK1814,yoaE@b1816@ECK1814,G6997,,
EG12270,b3550,EG12270-MONOMER,ECK3537,yiaC@b3550@ECK3537,EG12270,,
EG30084,b3851,RRSA-RRNA,ECK3843,rrsA@b3851@ECK3843,EG30084,,
EG11762,b3592,EG11762-MONOMER,ECK3581,yibF@b3592@ECK3581,EG11762,,
G6914,b1688,G6914-MONOMER,ECK1685,ydiK@b1688@ECK1685,G6914,,
EG10999,b0003,HOMOSERKIN-MONOMER,ECK0003,thrB@b0003@ECK0003,EG10999,,
EG12112,b2624,PD02850,ECK2620,alpA@b2624@ECK2620,EG12112,EG11783,EG10728@EG10733
G6853,b1595,G6853-MONOMER,ECK1590,ynfL@b1595@ECK1590,G6853,,
EG10320,b1892,EG10320-MONOMER,ECK1893,flhD@flbB@b1892@ECK1893,EG10320,EG11739@G7027@G370@G7028@G7035@G358@G359@G360@G361@G362@G363@G364@G365@G366@G6562@G369@G357@G0-9383@EG12663@EG12662@EG12661@G6359@G379@G378@G377@EG11656@EG11654@EG11347@EG11346@EG10841@EG11388@EG11389@EG12252@G6623@EG11781@EG11945@EG11946@EG11947@EG11948@EG11949@EG11950@G7039@EG11356@EG11355@EG11551@EG11552@EG12052@EG12053@EG12054@EG12055@EG12169@EG12057@EG12058@EG12059@EG12060@EG12061@EG12062@EG12064@EG12067@EG12143@EG12068@EG10322@EG10323@EG10324@EG11224@EG11975@EG11976@EG11977@EG10391@EG10392@EG10393@EG12081@EG11156@EG11155@EG11154@EG10825@G7418,EG10576@EG10594@EG10592@EG10593
EG11000,b0004,THRESYN-MONOMER,ECK0004,thrC@b0004@ECK0004,EG11000,,
G6763,b1452,G6763-MONOMER,ECK1446,yncE@b1452@ECK1446,G6763,,
G7350,b2584,G7350-MONOMER,ECK2582,patZ@yfiQ@pka@b2584@ECK2582,G7350,,
EG12794,b3180,EG12794-MONOMER,ECK3169,yhbY@b3180@ECK3169,EG12794,,
G6608,b1168,G6608-MONOMER,ECK1155,pdeG@ycgG@b1168@ECK1155,G6608,,
EG10208,b2472,MONOMER0-1981,ECK2467,dapE@msgB@b2472@ECK2467,EG10208,,
EG10573,b1159,EG10573-MONOMER,ECK1145,mcrA@rglA@b1159@ECK1145,EG10573,,
G6153,b0282,G6153-MONOMER,ECK0281,yagP@ykgT@b4695@b0282@ECK0281,G6153,,
G366,b1081,G366-MONOMER,ECK1066,flgJ@flaZ@b1081@ECK1066,G366,,
EG10205,b2478,DIHYDRODIPICSYN-MONOMER,ECK2474,dapA@b2478@ECK2474,EG10205,,
G6471,b0916,G6471-MONOMER,ECK0907,ycaQ@alkZ@b0916@ECK0907,G6471,,
G6435,b0835,G6435-MONOMER,ECK0825,rimO@yliG@b0835@ECK0825,G6435,,
EG10915,b2609,EG10915-MONOMER,ECK2606,rpsP@b2609@ECK2606,EG10915,,
EG11926,b4029,EG11926-MONOMER,ECK4021,yjbH@b4029@ECK4021,EG11926,,
G6363,b0660,G6363-MONOMER,ECK0652,ybeZ@phoL@b0660@ECK0652,G6363,,
EG11337,b2156,LYSP-MONOMER,ECK2149,lysP@cadR@b2156@ECK2149,EG11337,,
EG10050,b0564,PD00967,ECK0556,appY@b0564@ECK0556,EG10050,G0-10588@EG11380@EG11379@EG10049@EG10468@EG10469@EG10470@EG10471@EG10472@EG10473,
EG12008,b2127,EG12008-MONOMER,ECK2119,mlrA@yehV@b2127@ECK2119,EG12008,G7657@G7656@EG11499@EG50002@EG50001@EG10133@G6543@G6544@G6545@G6546,
EG11923,b4026,EG11923-MONOMER,ECK4018,yjbE@b4026@ECK4018,EG11923,,
G359,b1074,FLGC-FLAGELLAR-MOTOR-ROD-PROTEIN,ECK1059,flgC@flaW@b1074@ECK1059,G359,,
EG10551,b2839,PD00360,ECK2837,lysR@b2839@ECK2837,EG10551,EG10549,EG10551
G6207,b0354,G6207-MONOMER,ECK0351,yaiL@b0354@ECK0351,G6207,,
EG12007,b2126,MONOMER0-4457 // EG12007-MONOMER,ECK2118,btsS@yehU@b2126@ECK2118,EG12007,,
G0-16600,b4714,RNA0-385,ECK4571,ralA@b4714@ECK4571,G0-16600,,
EG10892,b3703,EG10892-MONOMER,ECK3695,rpmH@rimA@ssaF@b3703@ECK3695,EG10892,,
G6529,b1022,G6529-MONOMER,ECK1012,pgaC@hmsR@ycdQ@b1022@ECK1012,G6529,,
G0-17109,b4834,RNA0-427,ECK4691,xylZ@b4834@ECK4691,G0-17109,,
EG10209,b3809,DIAMINOPIMEPIM-MONOMER,ECK3804,dapF@b3809@ECK3804,EG10209,,
G7372,b2637,G7372-MONOMER,ECK2633,yfjT@b2637@ECK2633,G7372,,
G0-8897,b4806,RNA0-409,ECK4663,C0293@b4806@ECK4663,G0-8897,,
G7575,b3025,MONOMER0-2741 // G7575-MONOMER,ECK3016,qseB@ygiX@b3025@ECK3016,G7575,EG10311@EG10315@EG10314@EG10313@EG10310@EG11974@EG10308@G6706@EG12658@G7575@EG10319@EG10320,EG10235@G6706
EG12259,b3532,EG12259-MONOMER,ECK3517,bcsB@yhjN@b3532@ECK3517,EG12259,,
G363,b1078,FLGG-FLAGELLAR-MOTOR-ROD-PROTEIN,ECK1063,flgG@flaL@b1078@ECK1063,G363,,
EG10206,b0031,DIHYDROPICRED-MONOMER,ECK0032,dapB@b0031@ECK0032,EG10206,,
G0-17095,b4820,MONOMER0-4548,ECK4677,yrfJ@b4820@ECK4677,G0-17095,,
EG11430,b1128,EG11430-MONOMER,ECK1114,roxA@ycfD@b1128@ECK1114,EG11430,,
G0-10751,b4712,RNA0-379,ECK4569,agrA@b4712@ECK4569,G0-10751,,
EG10876,b3301,EG10876-MONOMER,ECK3288,rplO@b3301@ECK3288,EG10876,,
EG11924,b4027,EG11924-MONOMER,ECK4019,yjbF@b4027@ECK4019,EG11924,,
G0-16696,,RNA0-395,,naRNA3,G0-16696,,
EG10549,b2838,DIAMINOPIMDECARB-MONOMER,ECK2836,lysA@b2838@ECK2836,EG10549,,
G7277,b2447,G7277-MONOMER,ECK2442,yffP@b2447@ECK2442,G7277,,
G0-10752,b4713,RNA0-380,ECK4570,agrB@b4713@ECK4570,G0-10752,,
G6750,b1439,G6750-MONOMER,ECK1433,ydcR@b1439@ECK1433,G6750,,
EG10609,b3250,EG10609-MONOMER,ECK3238,mreC@b3250@ECK3238,EG10609,,
EG11976,b1949,EG11976-MONOMER,ECK1947,fliQ@flaQ@b1949@ECK1947,EG11976,,
EG10207,b0166,MONOMER0-2001,ECK0164,dapD@ssa@b0166@ECK0164,EG10207,,
G0-10715,b4705,MONOMER0-4216,ECK4517,mntS@G0-8881@b4705@ECK4517,G0-10715,,
G7211,b2340,G7211-MONOMER,ECK2334,sixA@yfcW@b2340@ECK2334,G7211,,
EG10210,b1343,EG10210-MONOMER,ECK1340,dbpA@rhlC@b1343@ECK1340,EG10210,,
G6530,b1023,G6530-MONOMER,ECK1013,pgaB@hmsF@ycdR@b1023@ECK1013,G6530,,
G0-10471,b4558,MONOMER0-2693,ECK3803,yifL@b4558@ECK3803,G0-10471,,
EG10095,b4139,ASPARTASE-MONOMER,ECK4133,aspA@b4139@ECK4133,EG10095,,
G7220,b2351,G7220-MONOMER,ECK2345,yfdH@gtrB@b2351@ECK2345,G7220,,
G0-10689,b4702,MONOMER0-4201,ECK4513,mgtL@b4702@ECK4513,G0-10689,,
EG12260,b3533,EG12260-MONOMER,ECK3518,bcsA@yhjP@yhjO@b3533@ECK3518,EG12260,,
EG11656,b1940,EG11656-MONOMER,ECK1938,fliH@flaAII.3@flaBIII@b1940@ECK1938,EG11656,,
EG10091,b3744,ASNSYNA-MONOMER,ECK3738,asnA@b3744@ECK3738,EG10091,,
EG12605,b0119,EG12605-MONOMER,ECK0118,yacL@b0119@ECK0118,EG12605,,
G6344,b0618,CITC-MONOMER,ECK0611,citC@ybeO@b0618@ECK0611,G6344,,
G7841,b4161,G7841-MONOMER,ECK4157,rsgA@yjeQ@b4161@ECK4157,G7841,,
EG11925,b4028,EG11925-MONOMER,ECK4020,yjbG@b4028@ECK4020,EG11925,,
EG12273,b3554,EG12273-MONOMER,ECK3541,yiaF@b3554@ECK3541,EG12273,,
G6764,b1453,ANSP-MONOMER,ECK1447,ansP@yncF@b1453@ECK1447,G6764,,
G6832,b1565,G6832-MONOMER,ECK1559,ydfV@b1565@ECK1559,G6832,,
EG11578,b3406,EG11578-MONOMER,ECK3393,greB@b3406@ECK3393,EG11578,,
EG10610,b3249,EG10610-MONOMER,ECK3237,mreD@b3249@ECK3237,EG10610,,
EG11389,b1926,EG11389-MONOMER,ECK1925,fliT@b1926@ECK1925,EG11389,,
EG10093,b3743,PD00250,ECK3737,asnC@b3743@ECK3737,EG10093,EG10091,EG10375@EG11199@EG10093
EG11998,b2119,EG11998-MONOMER,ECK2111,yehL@b2119@ECK2111,EG11998,,
G7109,b2070,G7109-MONOMER,ECK2064,yegI@b2070@ECK2064,G7109,,
EG30081,b4009,RRLE-RRNA,ECK4001,rrlE@b4009@ECK4001,EG30081,,
G6751,b1440,YDCS-MONOMER,ECK1434,ydcS@b1440@ECK1434,G6751,,
EG11860,b3896,EG11860-MONOMER,ECK3889,yiiG@b3896@ECK3889,EG11860,,
EG10768,b0242,GLUTKIN-MONOMER,ECK0243,proB@pro(2)@pro2@b0242@ECK0243,EG10768,,
G6697,b1374,G6697-MONOMER,ECK1369,pinR@ynaD@b1374@ECK1369,G6697,,
G7472,b2852,G7472-MONOMER,ECK2850,ygeH@b2852@ECK2850,G7472,,
G6528,b1021,G6528-MONOMER,ECK1011,pgaD@hmsS@ycdP@b1021@ECK1011,G6528,,
EG10841,b1924,EG10841-MONOMER,ECK1923,fliD@flbC@rfs@b1924@ECK1923,EG10841,,
EG10769,b0386,PYRROLINECARBREDUCT-MONOMER,ECK0381,proC@pro(3)@Pro2@pro3@b0386@ECK0381,EG10769,,
EG11712,b3688,EG11712-MONOMER,ECK3680,yidQ@ecfI@b3688@ECK3680,EG11712,,
G6318,b0570,MONOMER0-4178 // G6318-MONOMER,ECK0562,cusS@ybcZ@b0570@ECK0562,G6318,,
EG11410,b4234,EG11410-MONOMER,ECK4229,yjgA@b4234@ECK4229,EG11410,,
G7930,b4333,G7930-MONOMER,ECK4324,yjiK@b4333@ECK4324,G7930,,
EG10767,b0243,GLUTSEMIALDEHYDROG-MONOMER,ECK0244,proA@pro(1)@pro1@b0243@ECK0244,EG10767,,
G6489,b0949,UUP-MONOMER,ECK0940,uup@ycbI@ycbH@b0949@ECK0940,G6489,,
G6671,b1339,G6671-MONOMER,ECK1335,abgR@b1339@ECK1335,G6671,,
G6562,b1070,G6562-MONOMER,ECK1055,flgN@b1070@ECK1055,G6562,,
EG10134,b0032,CARBPSYN-SMALL,ECK0033,carA@arg@pyrA@b0032@ECK0033,EG10134,,
EG11515,b3215,EG11515-MONOMER,ECK3205,yhcA@b3215@ECK3205,EG11515,,
EG11207,b4012,EG11207-MONOMER,ECK4004,yjaB@b4012@ECK4004,EG11207,,
EG10912,b3298,EG10912-MONOMER,ECK3285,rpsM@b3298@ECK3285,EG10912,,
G7825,b4121,G7825-MONOMER,ECK4114,yjdF@b4121@ECK4114,G7825,,
EG10069,b4254,CHAINI-MONOMER,ECK4247,argI@b4254@ECK4247,EG10069,,
G6301,b0545,G6301-MONOMER,ECK0536,ybcL@b0545@ECK0536,G6301,,
EG12624,b3555,EG12624-MONOMER,ECK3542,yiaG@b3555@ECK3542,EG12624,,
EG10321,b1923,EG10321-MONOMER,ECK1922,fliC@H@flaF@hag@b1923@ECK1922,EG10321,,
EG10066,b3359,ACETYLORNTRANSAM-MONOMER,ECK3347,argD@Arg1@dapC@dtu@b3359@ECK3347,EG10066,,
EG11263,b3322,EG11263-MONOMER,ECK3309,gspB@pioO@pinO@b3322@ECK3309,EG11263,,
EG10488,b2753,EG10488-MONOMER,ECK2748,iap@b2753@ECK2748,EG10488,,
EG10889,b3936,EG10889-MONOMER,ECK3928,rpmE@b3936@ECK3928,EG10889,,EG10889
G7681,b3233,G7681-MONOMER,ECK3222,zapG@yhcB@b3233@ECK3222,G7681,,
EG11628,b0860,ARTJ-MONOMER,ECK0851,artJ@b0860@ECK0851,EG11628,,
G6131,b0256,G6131-MONOMER,ECK0258,insI1@tra8-1@b0256@ECK0258,G6131,,
G7262,b2427,G7262-MONOMER,ECK2422,murR@yfeT@b2427@ECK2422,G7262,G7262,G7262@G7264@G7263
G370,b1879,G370-MONOMER,ECK1880,flhA@flaH@b1879@ECK1880,G370,,
EG10063,b2818,N-ACETYLTRANSFER-MONOMER,ECK2814,argA@Arg2@Arg1@b2818@ECK2814,EG10063,,
EG11161,b2928,EG11161-MONOMER,ECK2924,yggC@b2928@ECK2924,EG11161,,
G812,b4237,RNTRACTIV-MONOMER,ECK4232,nrdG@yjgE@b4237@ECK4232,G812,,
EG10873,b3986,MONOMER0-2811 // EG10873-MONOMER,ECK3977,rplL@b3986@ECK3977,EG10873,,
G7567,b3014,G7567-MONOMER,ECK3006,yqhH@b3014@ECK3006,G7567,,
EG11624,b0864,ARTP-MONOMER,ECK0855,artP@b0864@ECK0855,EG11624,,
G0-10435,b4509,MONOMER0-2657,ECK0542,ylcG@b4509@ECK0542,G0-10435,,
G6398,b0768,G6398-MONOMER,ECK0757,ybhD@b0768@ECK0757,G6398,,
G360,b1075,G360-MONOMER,ECK1060,flgD@flaV@b1075@ECK1060,G360,,
EG10135,b0033,CARBPSYN-LARGE,ECK0034,carB@pyrA@b0033@ECK0034,EG10135,,
EG11084,b0081,EG11084-MONOMER,ECK0082,mraZ@yabB@b0081@ECK0082,EG11084,,EG11199@EG10265@EG10347@EG10339@EG10342@EG10214@EG10619@EG10623@EG10344@EG10620@EG10604@EG10622@EG10621@EG10341@EG11086@EG11085@EG11084
G7011,b1838,G7011-MONOMER,ECK1837,pphA@yebX@prpA@b1838@ECK1837,G7011,,
EG50002,b3185,EG50002-MONOMER,ECK3174,rpmA@rpz@b3185@ECK3174,EG50002,,
G7443,b2777,G7443-MONOMER,ECK2771,queE@ygcF@b2777@ECK2771,G7443,,
EG10070,b3237,PD00194,ECK3226,argR@Rarg@xerA@b3237@ECK3226,EG10070,G7645@G6170@EG11147@EG11566@EG11822@EG10405@G7292@EG10084@G6940@G6941@G6942@G6943@G6944,EG11627@EG11626@EG11625@EG11624@G7190@G6861@EG10520@EG11554@EG11279@EG11629@EG10700@EG11252@EG10547@G0-8899@EG11269@G7055@EG10347@EG11415@EG10203@EG10169@EG10081@G7669@G6458@EG10403@EG10404@EG11514@EG10063@EG10068@EG11628@EG10452@EG10007@EG12125@EG12124@EG10066@EG10743@EG10914@EG11177@EG11178@EG10505@EG10665@EG11179@EG30061@EG10134@EG10135@EG10070@EG10069@EG10067@EG11286@EG10065@EG10064@EG11223
EG11899,b1349,EG11899-MONOMER,ECK1346,recT@b1349@ECK1346,EG11899,,
EG12356,b3422,EG12356-MONOMER,ECK3408,rtcR@yhgB@b3422@ECK3408,EG12356,G7750@G7751,
G364,b1079,FLGH-FLAGELLAR-L-RING,ECK1064,flgH@flaY@b1079@ECK1064,G364,,
EG10067,b0273,CHAINF-MONOMER,ECK0274,argF@b0273@ECK0274,EG10067,,
G7298,b2475,G7298-MONOMER,ECK2471,ypfJ@b2475@ECK2471,G7298,,
EG12449,b2330,EG12449-MONOMER,ECK2324,prmB@yfcB@b2330@ECK2324,EG12449,,
EG30078,b3970,RRLB-RRNA,ECK3962,rrlB@b3970@ECK3962,EG30078,,
G7162,b2249,G7162-MONOMER,ECK2242,yfaY@b2249@ECK2242,G7162,,
G6188,b0323,G6188-MONOMER,ECK0321,yahI@b0323@ECK0321,G6188,,
EG10528,b4036,EG10528-MONOMER,ECK4028,lamB@malL@malB@b4036@ECK4028,EG10528,,
G7944,b4357,G7944-MONOMER,ECK4347,lgoR@yjjM@b4357@ECK4347,G7944,,
G357,b1072,G357-MONOMER,ECK1057,flgA@flaU@b1072@ECK1057,G357,,
EG10064,b3959,ACETYLGLUTKIN-MONOMER,ECK3950,argB@b3959@ECK3950,EG10064,,
G6993,b1809,G6993-MONOMER,ECK1807,yoaB@b1809@ECK1807,G6993,,
EG10853,b1427,EG10853-MONOMER,ECK1420,rimL@b1427@ECK1420,EG10853,,
EG11179,b3170,EG11179-MONOMER,ECK3159,rimP@yhbC@b3170@ECK3159,EG11179,,
G6894,b1664,G6894-MONOMER,ECK1660,ydhQ@b1664@ECK1660,G6894,,
EG11626,b0862,ARTQ-MONOMER,ECK0853,artQ@b0862@ECK0853,EG11626,,
G7368,b2633,G7368-MONOMER,ECK2629,yfjQ@b2633@ECK2629,G7368,,
G6976,b1790,G6976-MONOMER,ECK1788,nimR@yeaM@b1790@ECK1788,G6976,,G6976@G6977
G0-8895,b4414,T44-RNA,ECK0167,tff@t44@b4414@ECK0167,G0-8895,,
EG11967,b1082,EG11967-MONOMER,ECK1067,flgK@flaS@b1082@ECK1067,EG11967,,
EG11223,b3960,ARGSUCCINLYA-MONOMER,ECK3951,argH@b3960@ECK3951,EG11223,,
G6758,b1447,G6758-MONOMER,ECK1441,ydcZ@b1447@ECK1441,G6758,,
G7510,b2897,G7510-MONOMER,ECK2892,sdhE@ygfY@cptB@b2897@ECK2892,G7510,,
EG10909,b3321,EG10909-MONOMER,ECK3308,rpsJ@nusE@b3321@ECK3308,EG10909,,
G0-10633,b4667,MONOMER0-2859,ECK4482,ibsA@b4667@ECK4482,G0-10633,,
G6564,b1104,G6564-MONOMER,ECK1090,ycfL@b1104@ECK1090,G6564,,
EG10072,b2310,ARGT-MONOMER,ECK2304,argT@b2310@ECK2304,EG10072,,
G7274,b2444,G7274-MONOMER,ECK2439,yffM@b2444@ECK2439,G7274,,
G6259,b0483,G6259-MONOMER,ECK0477,ybaQ@b0483@ECK0477,G6259,,
G0-10630,b4664,MONOMER0-2856,ECK4479,ibsD@b4664@ECK4479,G0-10630,,
EG11545,b1083,EG11545-MONOMER,ECK1068,flgL@flaT@b1083@ECK1068,EG11545,,
EG10068,b3172,ARGSUCCINSYN-MONOMER,ECK3161,argG@b3172@ECK3161,EG10068,,
G6451,b0866,G6451-MONOMER,ECK0857,ybjQ@b0866@ECK0857,G6451,,
EG12360,b2236,EG12360-MONOMER,ECK2228,yfaE@b2236@ECK2228,EG12360,,
EG10886,b3637,EG10886-MONOMER,ECK3627,rpmB@b3637@ECK3627,EG10886,,
EG12429,b0461,EG12429-MONOMER,ECK0455,tomB@ybaJ@b0461@ECK0455,EG12429,,
G6329,b0600,G6329-MONOMER,ECK0594,ybdL@b0600@ECK0594,G6329,,
EG10065,b3958,N-ACETYLGLUTPREDUCT-MONOMER,ECK3949,argC@Arg2@b3958@ECK3949,EG10065,,
G7119,b2082,G7119-MONOMER,ECK2079,ogrK@b2082@ECK2079,G7119,,
EG10466,b4000,EG10466-MONOMER,ECK3992,hupA@b4000@ECK3992,EG10466,EG30063,EG12144@EG12197@EG10617@EG11041@EG11698@EG10363@EG10366@EG10362
G7509,b2896,G7509-MONOMER,ECK2891,ygfX@cptA@b2896@ECK2891,G7509,,
EG11224,b1947,EG11224-MONOMER,ECK1945,fliO@flbD@b1947@ECK1945,EG11224,,
EG11286,b3957,ACETYLORNDEACET-MONOMER,ECK3948,argE@b3957@ECK3948,EG11286,,
G6180,b0310,G6180-MONOMER,ECK0308,ykgH@b0310@ECK0308,G6180,,
EG10850,b4373,EG10850-MONOMER,ECK4364,rimI@b4373@ECK4364,EG10850,,
EG10870,b4203,EG10870-MONOMER,ECK4199,rplI@b4203@ECK4199,EG10870,,
G0-10634,b4687,MONOMER0-2860,ECK4502,shoB@yphI@ryfB@b4681@b4687@ECK4502,G0-10634,,
G0-17106,b4831,RNA0-424,ECK4688,allZ@b4831@ECK4688,G0-17106,,
EG10998,b0002,ASPKINIHOMOSERDEHYDROGI-MONOMER,ECK0002,thrA@thrA2@Hs@thrA1@thrD@b0002@ECK0002,EG10998,,
G6829,b1556,G6829-MONOMER,ECK1550,essQ@ydfS@b1556@ECK1550,G6829,,
G7869,b4212,G7869-MONOMER,ECK4208,ytfH@b4212@ECK4208,G7869,,
G0-10631,b4665,MONOMER0-2857,ECK4480,ibsC@b4665@ECK4480,G0-10631,,
EG10323,b1945,FLIM-FLAGELLAR-C-RING-SWITCH,ECK1943,fliM@flaQ@fla@flaQII@flaAII@flaA@cheC2@b1945@ECK1943,EG10323,,
EG10088,b3433,ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER,ECK3419,asd@dap@hom@b3433@ECK3419,EG10088,,
G0-17092,b4817,MONOMER0-4545,ECK4674,ynhH@b4817@ECK4674,G0-17092,,
G7402,b2674,G7402-MONOMER,ECK2668,nrdI@ygaO@b2674@ECK2668,G7402,,
EG30091,b3272,RRFF-RRNA,ECK3259,rrfF@rrfDbeta@rrvD@b3272@ECK3259,EG30091,,
G0-10472,b4559,MONOMER0-2694,ECK4122,ghoT@yjdO@b4559@ECK4122,G0-10472,,
G0-16693,,MONOMER0-4397,,gndA,G0-16693,,
EG10550,b4024,ASPKINIII-MONOMER,ECK4016,lysC@apk@b4024@ECK4016,EG10550,,
G6693,b1370,G6693-MONOMER,ECK0261,insH5@yi52_5@trs5-5@b1370@ECK0261,G6693,,
G6889,b1649,G6889-MONOMER,ECK1645,nemR@ydhM@b1649@ECK1645,G6889,,G6891@G6890@G6889
EG11498,b3262,EG11498-MONOMER,ECK3249,yhdJ@b3262@ECK3249,EG11498,,
G378,b1942,G378-MONOMER,ECK1940,fliJ@flaO@b1942@ECK1940,G378,,
EG10590,b3940,ASPKINIIHOMOSERDEHYDROGII-MONOMER,ECK3932,metL@metM@b3940@ECK3932,EG10590,,
G0-10701,,RNA0-363,,och5,G0-10701,,
G6468,b0905,G6468-MONOMER,ECK0896,ycaO@b0905@ECK0896,G6468,,
EG30075,b2588,RRFG-RRNA,ECK2586,rrfG@b2588@ECK2586,EG30075,,
G0-17026,b4780,MONOMER0-4492,ECK4637,yodE@b4780@ECK4637,G0-17026,,
G0-10443,b4518,MONOMER0-2665,ECK0996,ymdF@b4518@ECK0996,G0-10443,,
EG11234,b1692,EG11234-MONOMER,ECK1690,ydiB@b1692@ECK1690,EG11234,,
G6595,b1151,G6595-MONOMER,ECK1137,beeE@ymfO@b1151@ECK1137,G6595,,
G6165,b0294,G6165-MONOMER,ECK0293,matA@ykgK@ecpR@b0294@ECK0293,G6165,G6165@G6164,G0-17102@EG10321@G7039@EG11356@EG11355@EG10319@EG10320
G0-10632,b4668,MONOMER0-2858,ECK4483,ibsB@b4668@ECK4483,G0-10632,,
G361,b1076,G361-MONOMER,ECK1061,flgE@flaK@b1076@ECK1061,G361,,
EG10078,b2601,AROF-MONOMER,ECK2598,aroF@b2601@ECK2598,EG10078,,
EG12391,b1705,EG12391-MONOMER,ECK1703,ydiE@b1705@ECK1703,EG12391,,
EG11440,b3287,EG11440-MONOMER,ECK3273,def@fms@b3287@ECK3273,EG11440,,
EG11151,b2597,EG11151-MONOMER,ECK2594,raiA@urf1@yfiA@pY@b2597@ECK2594,EG11151,,
G0-10629,b4666,MONOMER0-2855,ECK4481,ibsE@b4666@ECK4481,G0-10629,,
EG12262,b3535,EG12262-MONOMER,ECK3520,yhjR@bcsR@b3535@ECK3520,EG12262,,
EG10075,b2329,AROC-MONOMER,ECK2323,aroC@b2329@ECK2323,EG10075,,
G6314,b0559,G6314-MONOMER,ECK0551,ybcW@b0559@ECK0551,G6314,,
EG12140,b1659,EG12140-MONOMER,ECK1655,punR@ydhB@b1659@ECK1655,EG12140,EG12141,
EG11817,b2744,EG11817-MONOMER,ECK2739,umpG@ygbC@surE@b2744@ECK2739,EG11817,,
EG10319,b1891,MONOMER0-2488,ECK1892,flhC@flaI@b1891@ECK1892,EG10319,EG11739@G7027@G370@G7028@G7035@G358@G359@G360@G361@G362@G363@G364@G365@G366@G6562@G369@G357@G0-9383@EG12663@EG12662@EG12661@G6359@G379@G378@G377@EG11656@EG11654@EG11347@EG11346@EG10841@EG11388@EG11389@EG12252@G6623@EG11781@EG11945@EG11946@EG11947@EG11948@EG11949@EG11950@G7039@EG11356@EG11355@EG11551@EG11552@EG12052@EG12053@EG12054@EG12055@EG12169@EG12057@EG12058@EG12059@EG12060@EG12061@EG12062@EG12064@EG12067@EG12143@EG12068@EG10322@EG10323@EG10324@EG11224@EG11975@EG11976@EG11977@EG10391@EG10392@EG10393@EG12081@EG11156@EG11155@EG11154@EG10825@G7418,EG10576@EG10594@EG10592@EG10593
G7067,b1981,SHIA-MONOMER,ECK1976,shiA@yeeM@b1981@ECK1976,G7067,,
EG11377,b3018,1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER,ECK3009,plsC@parF@b3018@ECK3009,EG11377,,
EG11831,b3859,EG11831-MONOMER,ECK3851,srkA@orfA@yihE@b3859@ECK3851,EG11831,,
EG10906,b3341,EG10906-MONOMER,ECK3328,rpsG@b3341@ECK3328,EG10906,,EG11036@EG10360@EG10906@EG10911
G6798,b1511,G6798-MONOMER,ECK1504,lsrK@ydeV@b1511@ECK1504,G6798,,
G6151,b0280,G6151-MONOMER,ECK0279,yagN@b0280@ECK0279,G6151,,
EG10081,b3390,AROK-MONOMER,ECK3377,aroK@b3390@ECK3377,EG10081,,
EG10139,b0175,CDPDIGLYSYN-MONOMER,ECK0174,cdsA@cds@b0175@ECK0174,EG10139,,
G7594,b3071,G7594-MONOMER,ECK3061,nfeR@yqjI@b3071@ECK3061,G7594,,G7593@G7594
G365,b1080,FLGI-FLAGELLAR-P-RING,ECK1065,flgI@flaM@b1080@ECK1065,G365,,
EG10076,b1693,AROD-MONOMER,ECK1691,aroD@b1693@ECK1691,EG10076,,
EG11284,b0180,FABZ-MONOMER,ECK0179,fabZ@sfhC21@sabA1@sefA@yaeA@b0180@ECK0179,EG11284,,
G7111,b2072,G7111-MONOMER,ECK2066,pphC@yegK@b2072@ECK2066,G7111,,
EG10883,b3318,EG10883-MONOMER,ECK3305,rplW@b3318@ECK3305,EG10883,,
G6128,b0253,G6128-MONOMER,ECK0255,ykfA@b0253@ECK0255,G6128,,
EG10073,b0908,AROA-MONOMER,ECK0899,aroA@b0908@ECK0899,EG10073,,
G6823,b1550,G6823-MONOMER,ECK1544,gnsB@ydfY@b1550@ECK1544,G6823,,
G6761,b1450,G6761-MONOMER,ECK1444,mcbR@yncC@b1450@ECK1444,G6761,EG50004@EG11738@EG11125@EG11126@EG11127,G6415
G358,b1073,FLGB-FLAGELLAR-MOTOR-ROD-PROTEIN,ECK1058,flgB@flbA@b1073@ECK1058,G358,,
EG10082,b0388,AROL-MONOMER,ECK0383,aroL@b0388@ECK0383,EG10082,,
EG12221,b3475,EG12221-MONOMER,ECK3459,acpT@yhhU@b3475@ECK3459,EG12221,,
G6339,b0613,G6339-MONOMER,ECK0606,citG@ybdT@b0613@ECK0606,G6339,,
