Gene_Name,Bnb,Product,ECKnb,Names,Object_ID,Directly_Activates_IDs,Directly_Inhibites_IDs
EG10762,b2891,EG10762-MONOMER,ECK2886,prfB@supK@b2891@ECK2886,EG10762,,
G6868,b1624,G6868-MONOMER,ECK1619,ydgJ@b1624@ECK1619,G6868,,
EG12380,b3415,GNTT-MONOMER,ECK3402,gntT@gntTalpha@yhgC@gntM@usgA@b3415@ECK3402,EG12380,,
EG11581,b0801,EG11581-MONOMER,ECK0790,hcxB@ybiC@b0801@ECK0790,EG11581,,
EG11828,b3856,EG11828-MONOMER,ECK3848,mobB@yihC@b3856@ECK3848,EG11828,,
G7364,b2629,G7364-MONOMER,ECK2625,yfjM@b2629@ECK2625,G7364,,
EG12019,b2137,EG12019-MONOMER,ECK2130,yohF@yohE@b2137@ECK2130,EG12019,,
EG12301,b1013,PD01352,ECK1004,rutR@ycdC@b1013@ECK1004,EG12301,EG10134@EG10135,EG10294@G6891@G6890@G6889@G6523@G6522@G6521@G6520@G6519@G6518@G6517@EG12301@EG12242@EG12243@G6639
G6215,b0363,G6215-MONOMER,ECK0360,yaiP@b0363@ECK0360,G6215,,
G7850,b4185,G7850-MONOMER,ECK4181,yjfM@b4185@ECK4181,G7850,,
EG10506,b1718,EG10506-MONOMER,ECK1716,infC@fit@srjA@b1718@ECK1716,EG10506,,
G7747,b3413,G7747-MONOMER,ECK3400,yhgH@gntX@b3413@ECK3400,G7747,,
EG12134,b0813,EG12134-MONOMER,ECK0802,rhtA@ybiF@b0813@ECK0802,EG12134,,
EG11400,b3508,EG11400-MONOMER,ECK3492,yhiD@yhhE@b3508@ECK3492,EG11400,,
G7231,b2362,G7231-MONOMER,ECK2356,yfdS@b2362@ECK2356,G7231,,
EG11449,b4480,EG11449-MONOMER,ECK3756,hdfR@b3762@yifA@yifD@b3763@b4480@ECK3756,EG11449,EG11450@EG10403@EG10404@EG11514,EG10319@EG10320
EG10377,b3429,GLYCOGENSYN-MONOMER,ECK3415,glgA@b3429@ECK3415,EG10377,,
G7732,b3380,G7732-MONOMER,ECK3367,yhfW@b3380@ECK3367,G7732,,
G6362,b0659,G6362-MONOMER,ECK0651,ybeY@b0659@ECK0651,G6362,,
G7205,b2334,G7205-MONOMER,ECK2328,yfcQ@b2334@ECK2328,G7205,,
EG11195,b3697,EG11195-MONOMER,ECK3689,yidA@b3697@ECK3689,EG11195,,
G7083,b2003,G7083-MONOMER,ECK1996,yeeT@b2003@ECK1996,G7083,,
EG10166,b3556,PD03695,ECK3543,cspA@b3556@ECK3543,EG10166,EG10423@EG10457,
G6852,b1594,PD01896,ECK1589,mlc@dgsA@b1594@ECK1589,G6852,,EG10787@EG10567@EG10568@EG10569@EG10562@EG10788@EG10789@EG10165@G6851@G6852
G7616,b3102,G7616-MONOMER,ECK3093,yqjG@b3102@ECK3093,G7616,,
EG11128,b1282,EG11128-MONOMER,ECK1277,yciH@b1282@ECK1277,EG11128,,
EG12325,b0136,EG12325-MONOMER,ECK0135,yadK@b0136@ECK0135,EG12325,,
EG11126,b1258,EG11126-MONOMER,ECK1252,yciF@b1258@ECK1252,EG11126,,
G6825,b1552,G6825-MONOMER,ECK1546,cspI@cspJ@b1552@ECK1546,G6825,,
EG10359,b0683,PD00260,ECK0671,fur@b0683@ECK0671,EG10359,G0-10737@EG11124@EG10372@EG11821@EG12191@EG10543@G6999@EG10511@EG10509@EG10921@EG10671@EG11012@EG10357@G0-17009@EG10933@EG10934@EG10931@EG10932@EG10979@EG10980@EG10981@EG10982@EG11104@G7061,G7949@EG10302@EG10304@EG10305@EG10303@EG10290@EG10289@EG10288@EG10287@EG10286@EG10262@EG10293@EG12933@EG12101@EG12102@G6905@G6906@G6907@G6908@G6909@EG11378@EG10957@EG10958@EG10403@EG10404@EG11514@G7593@EG11784@EG10411@G7072@EG11221@EG10372@EG10358@EG10325@EG11821@EG12191@EG10649@EG10096@EG11411@EG10543@EG10806@EG30069@EG11175@EG11176@EG10016@EG12760@G0-10474@EG11359@EG12173@G7711@G7710@G7709@G7708@G7707@G7706@G7705@G7704@G7703@G7702@EG10674@EG10675@EG10676@EG10677@EG10678@EG10510@G7139@G7138@EG10587@EG10155@EG10294@EG10295@EG10298@EG10296@EG10261@EG10263@EG10260@EG10259@EG11105@EG10359@EG10953@EG10319@EG10320@EG10800@EG11012@EG10292@EG10291@EG10182@EG10181@EG10180@EG10179@EG10178@G7758@G6820@G6821@EG11634@G7254@EG11699@G0-8872@EG12201@EG10306@EG10588@G6414@EG10271@EG10272@G7401@G7402@EG12381@EG20257@G0-10437@EG10299@EG10264@EG10297@EG11104@EG10456
EG11381,b3049,EG11381-MONOMER,ECK3038,glgS@scoR@b3049@ECK3038,EG11381,,
G7499,b2880,G7499-MONOMER,ECK2876,ygfM@b2880@ECK2876,G7499,,
G0-10465,b4550,MONOMER0-2687,ECK3278,arfA@yhdL@b4550@ECK3278,G0-10465,,
G7490,b2871,G7490-MONOMER,ECK2867,ygeX@b2871@ECK2867,G7490,,
G6793,b1503,G6793-MONOMER,ECK1496,ydeR@b1503@ECK1496,G6793,,
EG10433,b3803,HEMX-MONOMER,ECK3797,hemX@b3803@ECK3797,EG10433,,
G6685,b1361,G6685-MONOMER,ECK1359,ydaW@b1361@ECK1359,G6685,,
G6556,b1059,SARCOX-MONOMER,ECK1044,solA@b1059@ECK1044,G6556,,
EG10235,b3702,PD03831,ECK3694,dnaA@b3702@ECK3694,EG10235,EG10828@EG10242@EG10235@EG10746@EG12360@EG10660@EG10661,EG10831@EG11062@EG12360@EG10660@EG10661@G0-10642@EG10035@EG10420@EG10421@EG10897@EG10828@EG10242@EG10235
EG10378,b3432,GLYCOGEN-BRANCH-MONOMER,ECK3418,glgB@b3432@ECK3418,EG10378,,
G7400,b2672,B0899-MONOMER,ECK2666,ygaM@b2672@ECK2666,G7400,,
EG12343,b4391,YJJK-MONOMER,ECK4383,ettA@yjjK@b4391@ECK4383,EG12343,,
EG11761,b1461,EG11761-MONOMER,ECK1455,pptA@ydcE@b1461@ECK1455,EG11761,,
EG11990,b2111,EG11990-MONOMER,ECK2104,yehD@b2111@ECK2104,EG11990,,
G7214,b2343,G7214-MONOMER,ECK2337,yfcZ@b2343@ECK2337,G7214,,
G6591,b1147,G6591-MONOMER,ECK1133,ymfL@b1147@ECK1133,G6591,,
G7160,b2247,G7160-MONOMER,ECK2240,rhmD@yfaW@b2247@ECK2240,G7160,,
EG11366,b4396,PD04418,ECK4388,rob@cbpB@robA@b4396@ECK4388,EG11366,EG12315@G6742@G6423@EG12136@EG10638@EG11381@EG12403@EG10035@G7654@EG12656@EG10570@EG11411@EG10207@G6396@EG10358@EG50005@EG11325@G6447@EG10852@EG11261@EG12842@EG11165@EG11164@EG11009@EG10090@EG11373@G6422@EG11422@EG11221@EG11435@EG11434@EG11599@EG10953@EG30063@EG10651@EG11703@EG11704,EG11943@G7647@EG12624@EG10280@EG11530@EG10278@EG10279@G7173@G6944@EG11942@EG11448@EG11366
EG10379,b3430,GLUC1PADENYLTRANS-MONOMER,ECK3416,glgC@b3430@ECK3416,EG10379,,
G7027,b1878,G7027-MONOMER,ECK1879,flhE@b1878@ECK1879,G7027,,
G6437,b0837,G6437-MONOMER,ECK0827,yliI@b0837@ECK0827,G6437,,
EG11036,b3339,EG11036-MONOMER,ECK3326,tufA@pulT@kirT@b3339@ECK3326,EG11036,,
G6484,b0942,G6484-MONOMER,ECK0933,ycbU@b0942@ECK0933,G6484,,
G6966,b1780,G6966-MONOMER,ECK1778,yeaD@yzzQ@b1780@ECK1778,G6966,,
G6310,b0555,G6310-MONOMER,ECK0546,rrrD@lycV@ybcS@b0555@ECK0546,G6310,,
EG11568,b0046,EG11568-MONOMER,ECK0047,kefF@yabF@b0046@ECK0047,EG11568,,
EG12335,b0162,EG12335-MONOMER,ECK0161,cdaR@sdaR@yaeG@b0162@ECK0161,EG12335,EG12335@G7445@G7446@G7447@EG12522@EG30069@EG11175@EG11176@EG10016@EG12760,
EG11409,b0915,TETRAACYLDISACC4KIN-MONOMER,ECK0906,lpxK@ycaH@b0915@ECK0906,EG11409,,
G6840,b1582,G6840-MONOMER,ECK1577,ynfA@b1582@ECK1577,G6840,,
G7123,b2086,G7123-MONOMER,ECK2082,yegS@b2086@ECK2082,G7123,,
EG10230,b0145,EG10230-MONOMER,ECK0144,dksA@msmA@b0145@ECK0144,EG10230,G0-8905@G7080@G0-10617@EG11754@G0-9941@EG10456@EG12094@G0-9381@EG11574@EG11573@EG11572@EG30017@EG30042@EG30049@EG30068@EG11447@EG12100@EG11797@G6619@EG11897@EG10510@G7047@EG11256@G0-8880@G7347@G7348@EG12341@G0-8874@G0-8785@EG10309@EG11269@EG10449@EG10447@EG10446@EG10445@EG10450@EG10444@EG10448@EG10451@EG11277@EG10998@EG10999@EG11000@EG10539@EG10069,G0-16685@G0-16687@G0-16686@G7923@EG30017@EG30042@EG30049@EG30068@G7656@EG11499@EG50002@EG50001@EG10329@EG10891@EG10886@EG10908@EG10874@EG10885@EG10281@EG10277@EG11317@EG11318@EG30071@EG30078@EG30032@EG30085@EG30076@EG30083@EG30010@EG30045@EG30090@EG30075@EG30082@EG30035@EG30089@EG30074@EG30081@EG30034@EG30088@EG30091@EG30103@EG30073@EG30080@EG30009@EG30044@EG30087@EG30072@EG30079@EG30033@EG30086@EG10920@EG10239@EG10896@EG10899@EG10966@EG10967@EG10829@EG10440@EG10710@EG10709@EG11272@EG10881@EG11231@EG10506@EG11001@EG10919@EG10880@EG11023@EG11153@EG10915@EG10441@EG10900@EG11036@EG10360@EG10906@EG10911@EG10878@EG10893@EG10903@EG10910@EG10912@EG10895@EG10894@EG10873@EG10871@EG10864@EG10872@EG10916@EG10887@EG10877@EG10902@EG10882@EG10918@EG10865@EG10883@EG10867@EG10866@EG10909@EG11362@EG10230@EG11374@EG10690@EG11311@EG10317@EG30070@EG30077@EG30008@EG30043@EG30084@EG11232@EG10766@EG10876@EG10888@EG10904@EG10879@EG10869@EG10907@EG10913@EG10868@EG10884@EG10875
EG11678,b0135,EG11678-MONOMER,ECK0134,yadC@b0135@ECK0134,EG11678,,
G6651,b1313,G6651-MONOMER,ECK1308,ycjQ@b1313@ECK1308,G6651,,
G6147,b0276,G6147-MONOMER,ECK0275,yagJ@b0276@ECK0275,G6147,,
G6261,b0485,G6261-MONOMER,ECK0479,glsA@ybaS@b0485@ECK0479,G6261,,
EG11849,b3884,EG11849-MONOMER,ECK3877,csqR@yihW@b3884@ECK3877,EG11849,,EG11845@EG11846@EG11847@EG11848@EG11849
EG10759,b1702,PEPSYNTH-MONOMER,ECK1700,ppsA@pps@b1702@ECK1700,EG10759,,
EG10520,b3633,KDOTRANS-MONOMER,ECK3623,waaA@kdtA@b3633@ECK3623,EG10520,,
EG10805,b4245,ASPCARBCAT-MONOMER,ECK4240,pyrB@b4245@ECK4240,EG10805,,
